id,fecha,comentario,supermercado
3,19/03/2020,Super!! siempre pensando en los VECINOS.....,Ara
3,19/03/2020,También les deberian dar prioridad en el momento de pagar. ya que ayer estuve en una de sus tiendas y aunque no encontré nada porque los estantes estaban vacíos los hacían hacer filas terribles. Hemos fortalecido. de la mano de nuestros proveedores. la compra de productos específicos de mayor demanda. contamos con la capacidad logística y con un equipo de proveedores y empleados preparado para hacer frente a situaciones extraordinarias. por lo tanto está garantizado el abastecimiento de las tiendas. Vecino. recuerda que nuestros operadores en tienda trabajan para que tengas en casa todo lo que necesitas.,Ara
3,19/03/2020,Horario exacto para adultos mayores porfa. Buenas Tardes de 7am a 8:30am,Ara
3,19/03/2020,Ojalá pudieran un horario para adultos mayores.porque está mañana trate de ir y había una cola grandísima para entrar.porque estaban entrando por grupos pequeños Resolví devolverme para no estar afuera haciendo fila.Gracias! Buenas Tardes de 7am a 8:30am para todas las tiendas.,Ara
3,19/03/2020,van abrir el fin de semana? Hola vecina claro que si,Ara
3,19/03/2020,Alguien sabe que almacenes funcionaran en los días de aislamiento? Ya que una persona por familia puede Sali. Buenas tardes. todas las tiendas en diferentes horarios dependiendo la ciudad y la tienda.,Ara
3,19/03/2020,Horario exacto de apertura y cierre llegué al ara de los caracoles en cartagena a las 4. Y yá habían cerrado dónde tienen un anuncio que el cierre es a las 4/30. Buenas tardes.gracias por comentarnos te explico lo cierran para desinfección y limpieza de la tienda 15 minutos a media hora y lo vuelven abrir.,Ara
3,19/03/2020,Que horario tienen en Anapoima? Estaremos atendiendo en el horario habitual cerrando una hora y media antes. Por esta razón ara pone a su disposición los siguientes canales de atención: -Nuestra linea 018000 521 888 comunicate desde un fijo. -Facebook -Página web. entre otros que los podras ver directamente desde la página https://aratiendas.com/.,Ara
4,1/04/2020,Hola x favor me das los horarios de Ara Barranquilla,Ara
4,1/04/2020,Un trabajador de la salud medianamente responsable NO debe usar el uniforme en la calle sea porque va para su trabajo o porque salió.... y menos en esta situación. Un poco de sentido común ,Ara
4,1/04/2020,Buen día. no tienen pensado trabajar bajo domicilios?,Ara
4,1/04/2020,Apoyo a @tiendas.ara por cuidar nuestra salud. El personal de la salud son héroes. Pero deben ser héroes completos. Salvan vidas en clínicas y hospitales pero no pueden dañar el trabajo contaminando a la población en los supermercados. Deben descontaminarse y cambiarse la ropa al salir de los centros de salud. Con la ropa toda contaminada no se deben montar a un bus . taxi y mucho menos ir a un supermercado. Con los pies dañan todo el trabajo. No es DISCRIMINACIÓN.,Ara
4,1/04/2020,Cuándo domicilio???,Ara
4,1/04/2020,Donde puedo ver el horario de las tiendas ?,Ara
4,1/04/2020,Ojalá que todo salga bien para ustedes. He conocido las tiendas Pingo Doce (Portugal) del grupo económico de Ara. Realmente se siente el buen servicio y la calidad de los productos. Los buenos precios es lo mejor en estos momentos de cuarentena en Lisboa.,Ara
4,1/04/2020,Domicilios por favor. ¡Hola! Para ayudarte con tu solicitud.por favor bríndanos los siguientes datos. -Ciudad de residencia. -Teléfono. -Correo. ¡Estamos muy atentos!,Ara
4,1/04/2020,Qué medida están usando para los empleados usan tapabocas???,Ara
4,1/04/2020,A mi me han negado la entrada en 3 ocaciones y no era tiempo de cuarentena la atencien en tiendas ara es pesima discriminan a todo el mundo,Ara
4,1/04/2020,La medidas que toman es no dejar entrar médicos,Ara
4,1/04/2020,Me pueden pasa el piko y placa de los ARA de soledad,Ara
4,1/04/2020,Quien sabe que dia le toca comprar al que le termine el numero de la cédula en 1 y en 3?,Ara
4,1/04/2020,Sería muy bueno que implementaran el prototipo de la cabina de desinfección a bajo costo . se está implementando en la ciudad de Neiva en los supermercados de cadena. esperamos que ustedes cómo uno de los supermercados con grandes tiendas aquí en nuestra ciudad de ibague realicen también esta gran labor.,Ara
4,1/04/2020,En el Ara del barrio Minuto de Dios. Bogotá. se pasan de irrespetuosos. Los vigilante y algunas cajeras creen que están atendiendo limosneros.,Ara
4,1/04/2020,Con tapaboca no hay problema pero deberían restringir el ingreso con guantes que es solo de uso hospitalario,Ara
4,1/04/2020,Me parece terrible que hoy en el ara de manga le pedí hace varios días fue mi novio con mi cédula y lo atendieron. hoy que se supone es el día que me toca le pido el favor a mi madre que vaya y la dejaron entrar. pero estando adentro le dice la jefa de la tienda de manera muy grosera que no la va atender. se niega atenderla porque no es su cédula. no se supone que las personas con síntomas de gripas y asociados al covid 19 deben estar aislados? Ósea debo presentarme yo misma para poder obtener algunas cosas de abastecimiento? Presentaré una queja en la súper intendencia de industria y comercio por esta negligencia! No vuelvo más a tiendas ARA,Ara
4,1/04/2020,No da seguridad el método de pago no hay pago por PSE y de entrada pide los datos privados de las tarjetas,Ara
4,1/04/2020,No es seguro para el usuario,Ara
4,1/04/2020,Tienen servicio de domicilio en Santa Marta Magdalena,Ara
4,1/04/2020,Está tienda a Sido la mejor en estos tiempos difíciles y han mantenido sus precios estables es de aplaudir a este gran grupo,Ara
4,1/04/2020,Por q cierran las tiendas en Monteria???,Ara
4,1/04/2020,En ara 127 con suba siguen todos los protocolos y buen surtido y buena atención gracias ARA,Ara
4,1/04/2020,OJO PILAS CON LOS PRECIOS .ESTAN ELEVADOS,Ara
4,1/04/2020,Deberían de dejar de cobrar 5000 por comprar con tarjeta. sugiero que hagan más convenios con los bancos,Ara
4,1/04/2020,A que hora está cerrado para la limpieza para no ir las personas a esa hora a perder tiempo. en el ara de mi ciudad Dosquebradas los están cerrando cada tres horas es decir ellos abren a las 7 y a las 10 cierran hasta las 11 y así sucesivamente. Espero te sirva de algo la información,Ara
4,1/04/2020,Ara ustedes son de lo mejor se consiguen todos los productos gracias por un buen servicio,Ara
4,1/04/2020,Que horarios son los de limpieza y los de atención por favor. hay restricciones de cedulas?,Ara
4,1/04/2020,Cuales son los horarios de las tiendas en este momento en Bogota?,Ara
4,1/04/2020,Quiero felicitar a Tiendas Ara en Cartagena. No han incrementado los precios y esto nos ayuda en estos momentos dificiles. Gracias por su ayuda con la ciudadania. Eso hace que ganen mas clientes. Ojala comiencen a hacer domicilios.,Ara
4,1/04/2020,excelente,Ara
4,1/04/2020,La verdad esos pico y placas no convienen pz la verdad deberían dejar entrar pz con tapabocas y listo de a 5 a 8 personas siempre que no halla aglomeración solo eso del resto todo sería bien .,Ara
4,1/04/2020,Si se debe llevar puesto el tapabocas porque todos soltamos partículas de saliva y no sabemos quién tiene o no tiene el virus,Ara
4,1/04/2020,Excelente medidas @tiendas.ara son lo mejor. desafortunadamente hay personas que no ven más allá siempre miran las cosas malas pero no ven que allí también trabajan seres humanos no trabajan máquinas y hacen todo lo posible por dar lo mejor al cliente. lo que pasa es que la ignorancia de las personas no las deja ver que estamos en un tiempo difícil que en ves de estar haciendo más unión siguen aún en guerra. mi esposo es trabajador allí y como familia me da miedo que muy probablemente llegue infectado. entonces que las personas que quieren ir a comprar y no cumplan con los requisitos sanitarios no se sientan rechazados sean mas conscientes que si es de la salud busque otro horario para ir a comprar no con uniforme que los tapabocas solo lo usan los que están infectados? Dejemonos de cosas pero hay muchas personas que están infectadas por este virus y no saben y siguen teniendo contacto con las personas. entonces para evitar también tengamos un poco de conciencia y cuidemonos. por nosotros por nuestras familias. yo no tengo ningún problema con mi esposo cuando llega a casa y lo primero que hace el es realizarse una muy buena higiene y lo hace por cuidarnos. así que si usted se siente rechazado no lo sienta de esa manera mire más allá que esas personas también tienen hijos. tienen madre. tienen esposa. abuelos entonces CUMPLA CON LOS PROTOCOLOS SANITARIOS. CUÍDENSE USTEDES TAMBIÉN AYUDEN AL Mundo. en ves de estarse quejando por todo vean lo positivo siempre que he ido mantienen todo organizado sus frutas y verduras en unas condiciones excelentes. todos sus productos @tiendas.ara los felicito por su ardua labor y ánimo que los pequeños detalles se mejoran ustedes se están acogiendo a las leyes... ??Paz para todos estamos para construir un mundo que sea más de paz. no ven este acontecimiento? Llenen se de amor mucho amor...,Ara
4,1/04/2020,Como hago para saber una información personal me pueden responder por los MD,Ara
4,1/04/2020,Será que consigo gel antibacterial en ara Bogotá,Ara
4,1/04/2020,Alguien me puede por favor contar que sucedió?,Ara
4,1/04/2020,Spaos hptas por discriminar a los médicos!!!,Ara
4,1/04/2020,Excelente ARA,Ara
4,1/04/2020,Ara es tan discriminatorio que no acepta extranjeros para trabajar.,Ara
4,1/04/2020,Estoy contenta con su atención hace meses compro en ara a mi me da gusto porque puedo comprar muchas cosas con 50 mil para comer una semana y en esta situación que estamos todos no han subido de precios como otros lugares que quieren abusar de la situación que vivos por eso me da gusto que usted presten un servio excelente,Ara
4,1/04/2020,agradecemos que aún tengan abierto. que aún sigan con ánimos. la chica que me atiende yo le digo amiga y la Veo cansada. ella siempre sonríe. pero es duro que así como ella da su mayor esfuerzo la gente no sea consciente y quieran dar a entender que la tienda debe estar super surtida como sino pasará nada. hay cosas que hacen falta a lo que NormAlmemte hay pero es pasajero... Gracias a ustedes y los super héroes y heroínas que aun están allí arriesgándose por que en nuestro hogar no falte nada,Ara
4,1/04/2020,Me gusta todo lo que para cuidar la salud de las personas pero veo que los horarios es menor y no han tenido encuenta que toca hacer unas filas grande para que allan cambiado el horario. Y uno va y no hay leche ni pollo etc me parece que les hace falta surtir.,Ara
4,1/04/2020,Como trabajador ara noto varias cosas primero nosotros no tenemos la culpa de que en cada municipio o ciudad los decretos de atención al público hagan que estemos manejando horarios de atención al cliente difirentes somos ajenos a las políticas de cada ciudad y tenemos que seguir la norma. segundo que todo que la población en general nos culpan de tener tiendas vacías cuando todos los días estamos surtiendo pero son ustedes mismos los que desabastecen las tiendas tercero que todo la gente no lee los letreros a las afueras de la tienda con las explicaciones de horarios de atención al público y cuarto que todo no pueden ver protocolos de desinfección porque se realizan a puerta cerrada. eso no quiere decir que no se realicen. y quinto paciencia para todos estamos con el ánimo de seguir atendiendolos con la mejor actitud solo que es difícil algunas veces por el tráfico de personas tan grande que manejamos. y no discriminamos la experiencia con una persona no es la muestra de que familia ara obra de esa manera. abrazos y mantengamos unidos,Ara
4,1/04/2020,Excelente servicio el de esta marca,Ara
4,1/04/2020,Me encanta. simplemente gracias por arriesgarsen para brindar una atención de la mejor manera ,Ara
4,1/04/2020,Me gustaba comprar el pollo asado en sus tiendas. y desde hace aprox. 6 meses uno de sus empleados en una de las tiendas en Suba. me hizo el comentario que las papas que llevaba y la gaseosa no eran parte del combo. Se supone que ustedes trabajan para sus clientes y que debe primar la atención pero en ese aspecto han bajado mucho. Deben permitir que sus clientes escojan al gusto y no lo que los empleados impongan.,Ara
4,1/04/2020,Amo a tiendas Ara lo mejor,Ara
4,1/04/2020,Estamos en una situación totalmente anormal. es obvio que la atención y el surtido de las tiendas se van a haber afectados. así que hay que ser más comprensivos. si está tienda no estuviese tomando las medidas de precaucion y dejara que se llenara de gente así como antes. las críticas serian peores,Ara
4,1/04/2020,En ara de Biblioteca Tintal. el lunes festivo exigieron tapabocas para poder ingresar. Claramente se indica en medios de comunicación que los tapabocas están agotados por compras excesivas de estos implementos y recomiendan que no se usen cuando no hay motivos. Est exigencia de Ara va en contra de todo lo que indican las autoridades locales,Ara
4,1/04/2020,Porque están cerrando los supermercados en salitre de Bogota???,Ara
4,1/04/2020,No tienen compra en línea o domicilios ?,Ara
4,1/04/2020,Estan discriminando a los trabajadores del area de la salud.,Ara
4,1/04/2020,Asepsia- antisepsia. Limpio con limpio - sucio con sucio.,Ara
4,1/04/2020,Tienen domicilios en Barranquilla??,Ara
4,1/04/2020,Pero coloquen medidas afuera del almacén . por q parecen granos de arroz todos pegados así No hay control,Ara
4,1/04/2020,surtan leche y huevos en quilla. ni porque uno vaya a las 7. llevo dos semanas sin comprar leche allá porque nunca hay. me toca comprar en tiendas donde literal les dobla el precio pero ajá como se hace,Ara
4,1/04/2020,Pero de todas las tiendas es la que tiene mas surtido. vayan a justo y bueno o d1 y siempre vacías. a mi me ha ido bien con @tiendas.ara,Ara
4,1/04/2020,Horario y condiciones de ingreso de la tienda ara de Soacha Av. Septima? Por favor.,Ara
4,1/04/2020,He visto muchas personas sin tapabocas y tosiendo,Ara
4,1/04/2020,Felicitaciones @tiendas.ara en Cali los mejores precios. todo organizado las góndolas llenas y las personas que atienden estan con sus tapabocas puestos. Estoy satisfecha con el servicio,Ara
4,1/04/2020,Sí o no se impide el ingreso? En qué condiciones si? No han respondido ni queja al respecto. Estoy esperando...,Ara
4,1/04/2020,Excelente,Ara
4,1/04/2020,HOY ME SENTI DISCRIMINADO..MAL ATENDIDO TIENDA ARA CALLE 80 BOYACA..TE MIRAN RARO EXTRAÑO..POR QUE NO PONEN..REJAS Y ATIENDEN MEJOR SOLO LLEVE TAPABOCAS..ME DA TRISTEZA..UNO NO TIENE LA CULPA BUEM SURTIDO MAL ATENCION..,Ara
4,1/04/2020,Dentro de las medidas esta la discriminacion al personal de la salud? Porque sus empleados. porteros para ser exactos no dejan si quiera averiguar por precio de productos. a personas que nisiquiera han llegado a su punto de trabajo... esto me parece una falta de respeto!!,Ara
4,1/04/2020,Ósea que entre esos protocolos los médicos y enfermeras no pueden entrar en con sus uniformes ? O según ustedes si entran así no cumplen los protocolos,Ara
4,1/04/2020,Gracias ARA,Ara
4,1/04/2020,Creo que no están siendo realistas. como dicen algunos comentarios las tiendas se la pasan cerradas o desabastecidas. hace unos días mi cuñado fue a la tienda y el vigilante no lo dejo entrar porque no tenía mascarilla puesta. cuando el ministerio a sido enfático en los usos de esta. que NO es para todo el mundo por múltiples razones que creo que ya todos sabemos... más coherencia!,Ara
4,1/04/2020,Cuando llega la leche y los huevos para las tiendas en Barranquilla,Ara
4,1/04/2020,Deberían tener en cuenta lo que sucedió con el médico aquí en Barranquilla,Ara
4,1/04/2020,Que va! Aquí en Santa Marta esa gente que surte las góndolas no tiene ni tapabocas! Se la pasan por los pasillos hechando chisme de a cuatro y cinco! El velador colabora más y tiene un tapabocas que se rompe con mirarlo! Cuáles son las medidas de higiene ,Ara
4,1/04/2020,Excelentes medidas!!!! ,Ara
4,1/04/2020,De razón los aras que hay en toda la carrera 13 están cerradas desde hace mas de una semana...,Ara
4,1/04/2020,Hoy estaban cerrados todos los Aras en Montería.,Ara
4,1/04/2020,Y cuales son las medidas de ustedes ????,Ara
5,6/04/2020,A qué hora abren las tiendas en Santa Marta?,Ara
5,6/04/2020,Bueno...pero porfavor...suministrenle a sus empleados tapabocas y guantes... cuidenlos...gracias ,Ara
5,6/04/2020,Excelente así es,Ara
5,6/04/2020,Hola a que horas abren?? Para el horario de personas mayores.,Ara
5,6/04/2020,Excelente ,Ara
5,6/04/2020,Graciassss ,Ara
5,6/04/2020,Buenas tardes. como me puedo comunicar para saber si el ara de Arjona Bolívar tiene pico y cédula?,Ara
5,6/04/2020,Buenas tardes sres de ara. espero respondan mi inquietud. Es cierto q no se puede ingresar a sus tiendas sin tapabocas aunque estés bien de salud o ya colocaron esa norma en su empresa y porque no han colocado un anuncio oficial?,Ara
5,6/04/2020,La tienda de yumbo esta cerrada????,Ara
5,6/04/2020,Quiero saber porque no han vuelto a surtir de arena sanitaria para gatos en la sede de la calle 22 con carrera 8 centro de Bogotá?,Ara
5,6/04/2020,Quiero hablar con ustedes.. ..de hacer apoyo social con sus productos. ademad porque el concepto de Ara me gusta,Ara
5,6/04/2020,Y en las ciudades con pico y cédula qué ,Ara
5,6/04/2020,Pueden decir en qué horario cierran para hacer el aseo? Porque muchos no estamos cerca. entonces ir y que esté cerrado o tener que esperar ... ,Ara
5,6/04/2020,Es hora de que implementen los domicilios. así evitan las aglomeraciones afuera de las tiendas. Yo no he podido volver a comprarles y estoy comprando en D1 y justo y bueno. ellos tienen domicilio,Ara
5,6/04/2020,Habiliten servicio a domicilio. es momento de reinventarse,Ara
5,6/04/2020,Buenos días el ara de San Salvador en q horarios hacen la limpieza,Ara
5,6/04/2020,Cuál es el horario para adultos mayores. porque siempre que voy veo que no hay control en la entrada.,Ara
5,6/04/2020,Deberían de publicar el horario de atención y no tener así vecino esperando con u sol casi dos horas por ahora por qué ustedes cierra a el medio dia. además con tiene un decreto que cambio el día en el que debe comprar por qué no lo publican x este medio y el vigilante que tiene muy grosero el que está por las moras,Ara
5,6/04/2020,El día de hoy fui a tienda Ara a realizar mis compras y ninguno de los trabajadores están usando tapabocas ni guantes lo que me parece una irresponsabilidad si uno de sus trabajadores llegase a estar enfermo contamina los alimentos que allí compramos esto me sucedió en Dosquebradas el que está frente a Makro,Ara
5,6/04/2020,Pues lo de dos metros tiene que controlarse mas con otro guarda por que yo noc que le pasa a la gente. por lo menos yo guardaba mi distancia pero entonces fuera de la fila por que se pegaban mucho. como que pensaban que por estar separados les iban a quitar el puesto. vean eso porfavor,Ara
5,6/04/2020,Tienen domicilios en Mosquera cundinamarca,Ara
5,6/04/2020,Buenas tardes quiero saber si hacen domicilio estoy interesada en una batidora,Ara
6,11/04/2020,todos los supermercados deberían unirse y apoyar a las autoridades para que se cumplan las órdenes. Como? No permitir el acceso a personas sin tapabocas- No permitir que las personas estén en fila a menos de 1 metro. atender a las personas según el día y el género. Y no solo pensar en la parte económica VENDER!!. Todos queremos que esto termine pronto pero no colaboramos!!,Ara
6,11/04/2020,Dónde se lleva la hoja de vida?? Gracias por comunicarte con nosotros. Para aplicar en nuestras convocatorias laborales debes ingresar aquí http://trabajaconara.co/ y registrarte. Te recordamos que no disponemos un lugar físico para recibir hojas de vida o de un correo electrónico y solo las que lleguen por medio de la página serán tenidas en cuenta. ¡Éxitos en tu proceso!,Ara
6,11/04/2020,El pesimista ve dificultad en toda oportunidad. El optimista ve oportunidad en toda dificultad.,Ara
6,11/04/2020,Estos son los delitos por los que tendrá que responder si discrimina al personal médico https://t.co/5Xratx3jrM. Al igual que tú nos preocupamos porque TIendas Ara sea un lugar para todos. sin ninguna distinción.Siempre hemos trabajado para que asi sea.sin embargo.en este trabajo diario y ante esta conyuctura tenemos aun grandes oportunidades para ser mejores cada dia. Podemos cometer algunas falencias por lo que nos esforzamos para superarlas y seguir con nuestro compromiso de ser el vecino aliado de todos los colombianos. Comprendemos la molestia por la situación que se presentó al ingreso a nuestra tienda y nos disculpamos. Tenemos protocolos estrictos de aseo e higiene en tiendas y estamos cumpliendo con todas las medidas decretadadas por el Gobierno Nacional y las autoridades locales y. en ningún caso .se impide el ingreso.,Ara
6,11/04/2020,Mentirosos... ustedes discriminan al personal de la salud. no les permiten el ingreso a las tiendas ara... yo estaba presente. dijeron q tenian un correo donde les daban la orden de no dejar entrar personal de salud. me toco llamar a la policia para q dejaran entrar a mi compañera. que falta de respeto. hasta le hicieron quitar la ropa para dejarla entrar. MENTIROSOSSSS DISCRIMINADORES,Ara
7,15/04/2020,Yo tengo 3 tiendas cerca y la app no llega a mi casa!,Ara
7,15/04/2020,Y a Barranquilla?,Ara
7,15/04/2020,En Barranquilla pero que lleguen a la Pradera,Ara
7,15/04/2020,En Chinú Córdoba aplica??,Ara
7,15/04/2020,Hasta q hora atienden en las tiendas de cartagena ?,Ara
7,15/04/2020,Acá en Barranquilla aplica,Ara
7,15/04/2020,Es por numero de cedula para comprar en tienda ara?,Ara
7,15/04/2020,Y porque solo Bogotá y Barranquilla que?,Ara
7,15/04/2020,Barranquillla,Ara
7,15/04/2020,cuando llegan a Cartagena con esa aplicación??,Ara
7,15/04/2020,Holaaaa buenos días. Para cuando llegan los tv de nuevo al ara? Esos de 699?,Ara
7,15/04/2020,Mosquera. cundinamarca también necesita ese servicio,Ara
7,15/04/2020,Esta habilitada la app para Barranquilla y no se puede comprar sin saber los precios?,Ara
7,15/04/2020,Y porq Bogotá y Barranquilla no? Cuidado y me cambio ,Ara
7,15/04/2020,Cómo pido domicilio en Cartagena ?,Ara
7,15/04/2020,Santa marta ?,Ara
7,15/04/2020,Solo aplica para Bogotá?? Hay alguna forma de pedir a domicilio en Cali?,Ara
7,15/04/2020,Por favor Santa Marta..... Nos serviría mucho. Gracias,Ara
7,15/04/2020,En Barranquilla Cuando?,Ara
7,15/04/2020,Veo que comentan y no hay respuesta de parte de ara,Ara
7,15/04/2020,Veo que no hay respuesta para las otras ciudades,Ara
7,15/04/2020,Sería bueno que esto lo implemente en toda Colombia ya que ara hay por todo lados y así evitamos no salir,Ara
7,15/04/2020,Barranquilla,Ara
7,15/04/2020,A soacha ya llegó está aplicación he intentado por favor nos ayudan gracias,Ara
8,20/04/2020,Señores tiendas ara lastimosamente hace cinco días fui víctima del mal trato de parte de sus empleados más concretamente de su personal de vigilancia. soy personal de la salud aún así cumplí con mi día de pico y placa para realizar mi compra. la tienda donde voy estaba totalmente llena como Si fuera un día normal no había control en la.cantidad de personas adentró. sin embargo yo compré como normalmente lo hago tomando mis precauciones. al momento de pagar en la.caja necesite más dinero ya se lo había dicho a mi esposo quien estaba afuera con el dinero. le pedí el favor al vigilante que lo dejará entrar para que me diera el.dinero adentró y este empezó a decir que no que me diera la.plata afuera que el no lo iba a dejar entrar yo le dije que como se le ocurría que me diera dinero en la puerta considerando las situaciones de seguridad que el no iba a comprar sólo que lo dejará entrar a la.caja a pagar . el se tornó grosero levantando la voz delante de las más de veinte personas que tenía dentro d ELA tienda (demasiadas para un espacio tan pequeño) según el mi esposo era mucha gente si entraba a pagar pero la tienda llena NO LO ERA! . le expliqué que trabajamos en la salud y no contamos con tiempo para venir seguido no le importó que estuviéramos trasnochado y más violó toda norma de aglomeración de gente y discriminan al personal de Salud. ya no mas. basta trabajamos cada día para cuidar a los demás. y quien nos ayuda a nosotros ! @tiendas.ara escogen y eduquen y humanizen su personal! Merecemos respeto,Ara
8,20/04/2020,Yo no puedo salir d e casa y no hay como comprar en línea o tel donde hacer pedidos. Y eso q tengo uno a la vuelta de mi casa,Ara
8,20/04/2020,Buenas tardes que tiendas hay en Suramérica ITAGÜÍ gracias,Ara
8,20/04/2020,En ARA SABANALARGA el vigilante en turno nos agredió hoy verbalmente porque le preguntamos qué por qué dejaban entrar tantan gente sin tapabocas a la tienda.,Ara
8,20/04/2020,GRACIAS ASI ES Y VOY POR LOS PRODUCTOS..SE LA ATENCION MEJORARA BRAVO..,Ara
8,20/04/2020,Estoy satisfecha con la atención que prestan los los empleados. son atentos y serviciales,Ara
8,20/04/2020,Necesitamos domicilios en Cartagena en villas de la Candelaria,Ara
8,20/04/2020,Soy clienta debe ustedes . hoy el ara de villa santos a las 2:00 pm cerrado y era mi día de pico cedula. que pasooo???,Ara
8,20/04/2020,¿ Qué pasó?,Ara
8,20/04/2020,Necesitamos domicilios. Sería maravilloso. Cali. Avenida 6a.,Ara
8,20/04/2020,Ares Ara son unos discriminadores no dejan entrar a personal de salud.son tan ignorantes que cualquier persona puede estar afectada,Ara
8,20/04/2020,Yo con todo respeto q se merecen los médicos. si cuidan su familia y entran a su casa como dicen casi desnudos porque? Muchos van hacer compras después de un turno con su uniforme y sin bañarse la comunidad también necesita cuidados según las informaciones viaja el virus en ropa y hasta en cabellos q problema es q llegue a su casa y se bañe y se cambie y vuelva y salga. seamos consecuentes y tolerantes todos en esta situación ,Ara
8,20/04/2020,quiero ser solidaria con Ara.,Ara
8,20/04/2020,Excelente,Ara
8,20/04/2020,Mi única queja es el horario dicen que es de 7:00 am a 6:00 pm a las 5:30 ya no dejan entrar. me ha pasado en el Ara de la 15 en Barranquilla. ,Ara
8,20/04/2020,hola en buga buenos noches pregunta tiener un whaatapp numero ??: envio paraque necesita compra envio a mi gracias,Ara
